Nightlord,Shifting Earth,Map ID,Evergaol,Boss
16.0,Gladius,Default,Stormhill,Crucible Knight with Sword
16.0,Gladius,Default,Highroad,Crucible Knight with Spear
16.0,Gladius,Default,East of Lake,Crystalians
16.0,Gladius,Default,Mistwood,Beastly Brigade
16.0,Gladius,Default,Northeast Tunnel Entrance,Omen
17.0,Gladius,Default,Northwest of Lake,Godskin Apostle
17.0,Gladius,Default,Murkwater Terminus,Crucible Knight with Sword
17.0,Gladius,Default,Stormhill,Death Rite Bird
17.0,Gladius,Default,Highroad,Bloodhound Knight
17.0,Gladius,Default,East of Lake,Banished Knights
17.0,Gladius,Default,Mistwood,Grave Warden Duelist
17.0,Gladius,Default,Northeast Tunnel Entrance,Beastly Brigade
18.0,Gladius,Default,Northwest of Lake,Bloodhound Knight
18.0,Gladius,Default,Murkwater Terminus,Ancient Dragon
18.0,Gladius,Default,Stormhill,Grave Warden Duelist
18.0,Gladius,Default,Highroad,Beastmen of Farum Azula
18.0,Gladius,Default,East of Lake,Crucible Knight with Sword
18.0,Gladius,Default,Mistwood,Godskin Apostle
18.0,Gladius,Default,Northeast Tunnel Entrance,Banished Knights
19.0,Gladius,Default,Northwest of Lake,Beastmen of Farum Azula
19.0,Gladius,Default,Murkwater Terminus,Nox Warriors
19.0,Gladius,Default,Stormhill,Crystalians
19.0,Gladius,Default,Highroad,Crucible Knight with Sword
19.0,Gladius,Default,East of Lake,Bloodhound Knight
19.0,Gladius,Default,Mistwood,Dragonkin Soldier
19.0,Gladius,Default,Northeast Tunnel Entrance,Grave Warden Duelist
20.0,Gladius,Mountaintop,Northwest of Lake,Grave Warden Duelist
20.0,Gladius,Mountaintop,East of Lake,Crystalians
20.0,Gladius,Mountaintop,Mistwood,Dragonkin Soldier
20.0,Gladius,Mountaintop,Northeast Tunnel Entrance,Nox Warriors
21.0,Gladius,Mountaintop,Northwest of Lake,Bloodhound Knight
21.0,Gladius,Mountaintop,East of Lake,Dragonkin Soldier
21.0,Gladius,Mountaintop,Mistwood,Beastmen of Farum Azula
21.0,Gladius,Mountaintop,Northeast Tunnel Entrance,Stoneskin Lords
22.0,Gladius,Mountaintop,Northwest of Lake,Dragonkin Soldier
22.0,Gladius,Mountaintop,East of Lake,Nox Warriors
22.0,Gladius,Mountaintop,Mistwood,Beastly Brigade
22.0,Gladius,Mountaintop,Northeast Tunnel Entrance,Crystalians
23.0,Gladius,Mountaintop,Northwest of Lake,Beastly Brigade
23.0,Gladius,Mountaintop,East of Lake,Bloodhound Knight
23.0,Gladius,Mountaintop,Mistwood,Crucible Knight with Sword
23.0,Gladius,Mountaintop,Northeast Tunnel Entrance,Death Rite Bird
24.0,Gladius,Mountaintop,Northwest of Lake,Stoneskin Lords
24.0,Gladius,Mountaintop,East of Lake,Grave Warden Duelist
24.0,Gladius,Mountaintop,Mistwood,Banished Knights
24.0,Gladius,Mountaintop,Northeast Tunnel Entrance,Dragonkin Soldier
25.0,Gladius,Crater,Northwest of Lake,Stoneskin Lords
25.0,Gladius,Crater,Stormhill,Omen
25.0,Gladius,Crater,East of Lake,Nox Warriors
25.0,Gladius,Crater,Mistwood,Godskin Apostle
26.0,Gladius,Crater,Northwest of Lake,Bloodhound Knight
26.0,Gladius,Crater,Stormhill,Grave Warden Duelist
26.0,Gladius,Crater,East of Lake,Banished Knights
26.0,Gladius,Crater,Mistwood,Dragonkin Soldier
27.0,Gladius,Crater,Northwest of Lake,Stoneskin Lords
27.0,Gladius,Crater,Stormhill,Beastmen of Farum Azula
27.0,Gladius,Crater,East of Lake,Crucible Knight with Sword
27.0,Gladius,Crater,Mistwood,Godskin Duo
28.0,Gladius,Crater,Northwest of Lake,Stoneskin Lords
28.0,Gladius,Crater,Stormhill,Crucible Knight with Spear
28.0,Gladius,Crater,East of Lake,Banished Knights
28.0,Gladius,Crater,Mistwood,Beastly Brigade
29.0,Gladius,Crater,Northwest of Lake,Beastmen of Farum Azula
29.0,Gladius,Crater,Stormhill,Banished Knights
29.0,Gladius,Crater,East of Lake,Nox Warriors
29.0,Gladius,Crater,Mistwood,Crucible Knight with Sword
30.0,Gladius,Rotted Woods,Northwest of Lake,Godskin Apostle
30.0,Gladius,Rotted Woods,Murkwater Terminus,Death Rite Bird
30.0,Gladius,Rotted Woods,Stormhill,Crucible Knight with Spear
30.0,Gladius,Rotted Woods,Highroad,Crystalians
30.0,Gladius,Rotted Woods,Mistwood,Beastly Brigade
30.0,Gladius,Rotted Woods,Northeast Tunnel Entrance,Banished Knights
31.0,Gladius,Rotted Woods,Northwest of Lake,Bloodhound Knight
31.0,Gladius,Rotted Woods,Murkwater Terminus,Omen
31.0,Gladius,Rotted Woods,Stormhill,Godskin Apostle
31.0,Gladius,Rotted Woods,Highroad,Beastly Brigade
31.0,Gladius,Rotted Woods,Mistwood,Stoneskin Lords
31.0,Gladius,Rotted Woods,Northeast Tunnel Entrance,Godskin Noble
32.0,Gladius,Rotted Woods,Northwest of Lake,Omen
32.0,Gladius,Rotted Woods,Murkwater Terminus,Dragonkin Soldier
32.0,Gladius,Rotted Woods,Stormhill,Stoneskin Lords
32.0,Gladius,Rotted Woods,Highroad,Banished Knights
32.0,Gladius,Rotted Woods,Mistwood,Crystalians
32.0,Gladius,Rotted Woods,Northeast Tunnel Entrance,Godskin Apostle
33.0,Gladius,Rotted Woods,Northwest of Lake,Nox Warriors
33.0,Gladius,Rotted Woods,Murkwater Terminus,Omen
33.0,Gladius,Rotted Woods,Stormhill,Crystalians
33.0,Gladius,Rotted Woods,Highroad,Crucible Knight with Sword
33.0,Gladius,Rotted Woods,Mistwood,Grave Warden Duelist
33.0,Gladius,Rotted Woods,Northeast Tunnel Entrance,Godskin Noble
34.0,Gladius,Rotted Woods,Northwest of Lake,Godskin Apostle
34.0,Gladius,Rotted Woods,Murkwater Terminus,Grave Warden Duelist
34.0,Gladius,Rotted Woods,Stormhill,Beastmen of Farum Azula
34.0,Gladius,Rotted Woods,Highroad,Dragonkin Soldier
34.0,Gladius,Rotted Woods,Mistwood,Crystalians
34.0,Gladius,Rotted Woods,Northeast Tunnel Entrance,Banished Knights
35.0,Gladius,Noklateo,Murkwater Terminus,Crucible Knight with Spear
35.0,Gladius,Noklateo,Stormhill,Crystalians
35.0,Gladius,Noklateo,Highroad,Stoneskin Lords
35.0,Gladius,Noklateo,East of Lake,Dragonkin Soldier
35.0,Gladius,Noklateo,Mistwood,Beastly Brigade
35.0,Gladius,Noklateo,Northeast Tunnel Entrance,Grave Warden Duelist
36.0,Gladius,Noklateo,Murkwater Terminus,Omen
36.0,Gladius,Noklateo,Stormhill,Stoneskin Lords
36.0,Gladius,Noklateo,Highroad,Grave Warden Duelist
36.0,Gladius,Noklateo,East of Lake,Crystalians
36.0,Gladius,Noklateo,Mistwood,Dragonkin Soldier
36.0,Gladius,Noklateo,Northeast Tunnel Entrance,Godskin Apostle
37.0,Gladius,Noklateo,Murkwater Terminus,Beastmen of Farum Azula
37.0,Gladius,Noklateo,Stormhill,Godskin Apostle
37.0,Gladius,Noklateo,Highroad,Crystalians
37.0,Gladius,Noklateo,East of Lake,Crucible Knight with Sword
37.0,Gladius,Noklateo,Mistwood,Nox Warriors
37.0,Gladius,Noklateo,Northeast Tunnel Entrance,Ancient Dragon
38.0,Gladius,Noklateo,Murkwater Terminus,Beastly Brigade
38.0,Gladius,Noklateo,Stormhill,Nox Warriors
38.0,Gladius,Noklateo,Highroad,Godskin Apostle
38.0,Gladius,Noklateo,East of Lake,Omen
38.0,Gladius,Noklateo,Mistwood,Crystalians
38.0,Gladius,Noklateo,Northeast Tunnel Entrance,Crucible Knight with Spear
39.0,Gladius,Noklateo,Murkwater Terminus,Beastly Brigade
39.0,Gladius,Noklateo,Stormhill,Crucible Knight with Sword
39.0,Gladius,Noklateo,Highroad,Stoneskin Lords
39.0,Gladius,Noklateo,East of Lake,Grave Warden Duelist
39.0,Gladius,Noklateo,Mistwood,Dragonkin Soldier
39.0,Gladius,Noklateo,Northeast Tunnel Entrance,Banished Knights
40.0,Adel,Default,Northwest of Lake,Grave Warden Duelist
40.0,Adel,Default,Murkwater Terminus,Godskin Apostle
40.0,Adel,Default,Stormhill,Godskin Noble
40.0,Adel,Default,Highroad,Stoneskin Lords
40.0,Adel,Default,East of Lake,Nox Warriors
40.0,Adel,Default,Mistwood,Crystalians
40.0,Adel,Default,Northeast Tunnel Entrance,Omen
41.0,Adel,Default,Northwest of Lake,Crucible Knight with Spear
41.0,Adel,Default,Murkwater Terminus,Beastly Brigade
41.0,Adel,Default,Stormhill,Banished Knights
41.0,Adel,Default,Highroad,Crucible Knight with Sword
41.0,Adel,Default,East of Lake,Omen
41.0,Adel,Default,Mistwood,Nox Warriors
41.0,Adel,Default,Northeast Tunnel Entrance,Crystalians
42.0,Adel,Default,Northwest of Lake,Nox Warriors
42.0,Adel,Default,Murkwater Terminus,Beastly Brigade
42.0,Adel,Default,Stormhill,Godskin Noble
42.0,Adel,Default,Highroad,Dragonkin Soldier
42.0,Adel,Default,East of Lake,Grave Warden Duelist
42.0,Adel,Default,Mistwood,Banished Knights
42.0,Adel,Default,Northeast Tunnel Entrance,Godskin Duo
43.0,Adel,Default,Northwest of Lake,Grave Warden Duelist
43.0,Adel,Default,Murkwater Terminus,Bloodhound Knight
43.0,Adel,Default,Stormhill,Crucible Knight with Sword
43.0,Adel,Default,Highroad,Godskin Noble
43.0,Adel,Default,East of Lake,Nox Warriors
43.0,Adel,Default,Mistwood,Beastmen of Farum Azula
43.0,Adel,Default,Northeast Tunnel Entrance,Banished Knights
44.0,Adel,Default,Northwest of Lake,Omen
44.0,Adel,Default,Murkwater Terminus,Bloodhound Knight
44.0,Adel,Default,Stormhill,Nox Warriors
44.0,Adel,Default,Highroad,Beastly Brigade
44.0,Adel,Default,East of Lake,Crystalians
44.0,Adel,Default,Mistwood,Dragonkin Soldier
44.0,Adel,Default,Northeast Tunnel Entrance,Crucible Knight with Spear
45.0,Adel,Default,Northwest of Lake,Banished Knights
45.0,Adel,Default,Murkwater Terminus,Omen
45.0,Adel,Default,Stormhill,Crystalians
45.0,Adel,Default,Highroad,Dragonkin Soldier
45.0,Adel,Default,East of Lake,Nox Warriors
45.0,Adel,Default,Mistwood,Godskin Noble
45.0,Adel,Default,Northeast Tunnel Entrance,Grave Warden Duelist
46.0,Adel,Default,Northwest of Lake,Bloodhound Knight
46.0,Adel,Default,Murkwater Terminus,Beastmen of Farum Azula
46.0,Adel,Default,Stormhill,Grave Warden Duelist
46.0,Adel,Default,Highroad,Godskin Noble
46.0,Adel,Default,East of Lake,Dragonkin Soldier
46.0,Adel,Default,Mistwood,Banished Knights
46.0,Adel,Default,Northeast Tunnel Entrance,Crystalians
47.0,Adel,Default,Northwest of Lake,Crucible Knight with Sword
47.0,Adel,Default,Murkwater Terminus,Omen
47.0,Adel,Default,Stormhill,Crystalians
47.0,Adel,Default,Highroad,Beastly Brigade
47.0,Adel,Default,East of Lake,Banished Knights
47.0,Adel,Default,Mistwood,Stoneskin Lords
47.0,Adel,Default,Northeast Tunnel Entrance,Dragonkin Soldier
48.0,Adel,Default,Northwest of Lake,Crystalians
48.0,Adel,Default,Murkwater Terminus,Omen
48.0,Adel,Default,Stormhill,Stoneskin Lords
48.0,Adel,Default,Highroad,Nox Warriors
48.0,Adel,Default,East of Lake,Godskin Apostle
48.0,Adel,Default,Mistwood,Grave Warden Duelist
48.0,Adel,Default,Northeast Tunnel Entrance,Godskin Noble
49.0,Adel,Default,Northwest of Lake,Beastly Brigade
49.0,Adel,Default,Murkwater Terminus,Crystalians
49.0,Adel,Default,Stormhill,Stoneskin Lords
49.0,Adel,Default,Highroad,Grave Warden Duelist
49.0,Adel,Default,East of Lake,Godskin Noble
49.0,Adel,Default,Mistwood,Bloodhound Knight
49.0,Adel,Default,Northeast Tunnel Entrance,Godskin Apostle
50.0,Adel,Default,Northwest of Lake,Bloodhound Knight
50.0,Adel,Default,Murkwater Terminus,Crucible Knight with Spear
50.0,Adel,Default,Stormhill,Crucible Knight with Sword
50.0,Adel,Default,Highroad,Crystalians
50.0,Adel,Default,East of Lake,Nox Warriors
50.0,Adel,Default,Mistwood,Beastly Brigade
50.0,Adel,Default,Northeast Tunnel Entrance,Beastmen of Farum Azula
51.0,Adel,Default,Northwest of Lake,Beastly Brigade
51.0,Adel,Default,Murkwater Terminus,Grave Warden Duelist
51.0,Adel,Default,Stormhill,Godskin Noble
51.0,Adel,Default,Highroad,Stoneskin Lords
51.0,Adel,Default,East of Lake,Nox Warriors
51.0,Adel,Default,Mistwood,Bloodhound Knight
51.0,Adel,Default,Northeast Tunnel Entrance,Dragonkin Soldier
52.0,Adel,Default,Northwest of Lake,Nox Warriors
52.0,Adel,Default,Murkwater Terminus,Dragonkin Soldier
52.0,Adel,Default,Stormhill,Bloodhound Knight
52.0,Adel,Default,Highroad,Banished Knights
52.0,Adel,Default,East of Lake,Crucible Knight with Sword
52.0,Adel,Default,Mistwood,Grave Warden Duelist
52.0,Adel,Default,Northeast Tunnel Entrance,Beastly Brigade
53.0,Adel,Default,Northwest of Lake,Omen
53.0,Adel,Default,Murkwater Terminus,Godskin Apostle
53.0,Adel,Default,Stormhill,Dragonkin Soldier
53.0,Adel,Default,Highroad,Bloodhound Knight
53.0,Adel,Default,East of Lake,Beastmen of Farum Azula
53.0,Adel,Default,Mistwood,Ancient Dragon
53.0,Adel,Default,Northeast Tunnel Entrance,Crystalians
54.0,Adel,Default,Northwest of Lake,Dragonkin Soldier
54.0,Adel,Default,Murkwater Terminus,Stoneskin Lords
54.0,Adel,Default,Stormhill,Banished Knights
54.0,Adel,Default,Highroad,Beastly Brigade
54.0,Adel,Default,East of Lake,Nox Warriors
54.0,Adel,Default,Mistwood,Crucible Knight with Sword
54.0,Adel,Default,Northeast Tunnel Entrance,Grave Warden Duelist
55.0,Adel,Default,Northwest of Lake,Omen
55.0,Adel,Default,Murkwater Terminus,Dragonkin Soldier
55.0,Adel,Default,Stormhill,Beastmen of Farum Azula
55.0,Adel,Default,Highroad,Crucible Knight with Spear
55.0,Adel,Default,East of Lake,Nox Warriors
55.0,Adel,Default,Mistwood,Ancient Dragon
55.0,Adel,Default,Northeast Tunnel Entrance,Banished Knights
56.0,Adel,Default,Northwest of Lake,Beastmen of Farum Azula
56.0,Adel,Default,Murkwater Terminus,Crucible Knight with Sword
56.0,Adel,Default,Stormhill,Crystalians
56.0,Adel,Default,Highroad,Crucible Knight with Spear
56.0,Adel,Default,East of Lake,Grave Warden Duelist
56.0,Adel,Default,Mistwood,Stoneskin Lords
56.0,Adel,Default,Northeast Tunnel Entrance,Nox Warriors
57.0,Adel,Default,Northwest of Lake,Godskin Apostle
57.0,Adel,Default,Murkwater Terminus,Crucible Knight with Sword
57.0,Adel,Default,Stormhill,Omen
57.0,Adel,Default,Highroad,Stoneskin Lords
57.0,Adel,Default,East of Lake,Banished Knights
57.0,Adel,Default,Mistwood,Ancient Dragon
57.0,Adel,Default,Northeast Tunnel Entrance,Beastmen of Farum Azula
58.0,Adel,Default,Northwest of Lake,Crystalians
58.0,Adel,Default,Murkwater Terminus,Death Rite Bird
58.0,Adel,Default,Stormhill,Beastmen of Farum Azula
58.0,Adel,Default,Highroad,Godskin Noble
58.0,Adel,Default,East of Lake,Crucible Knight with Sword
58.0,Adel,Default,Mistwood,Nox Warriors
58.0,Adel,Default,Northeast Tunnel Entrance,Omen
59.0,Adel,Default,Northwest of Lake,Banished Knights
59.0,Adel,Default,Murkwater Terminus,Omen
59.0,Adel,Default,Stormhill,Crystalians
59.0,Adel,Default,Highroad,Dragonkin Soldier
59.0,Adel,Default,East of Lake,Beastly Brigade
59.0,Adel,Default,Mistwood,Stoneskin Lords
59.0,Adel,Default,Northeast Tunnel Entrance,Crucible Knight with Sword
60.0,Adel,Mountaintop,Northwest of Lake,Godskin Apostle
60.0,Adel,Mountaintop,East of Lake,Grave Warden Duelist
60.0,Adel,Mountaintop,Mistwood,Bloodhound Knight
60.0,Adel,Mountaintop,Northeast Tunnel Entrance,Nox Warriors
61.0,Adel,Mountaintop,Northwest of Lake,Nox Warriors
61.0,Adel,Mountaintop,East of Lake,Omen
61.0,Adel,Mountaintop,Mistwood,Crystalians
61.0,Adel,Mountaintop,Northeast Tunnel Entrance,Godskin Apostle
62.0,Adel,Mountaintop,Northwest of Lake,Stoneskin Lords
62.0,Adel,Mountaintop,East of Lake,Grave Warden Duelist
62.0,Adel,Mountaintop,Mistwood,Crystalians
62.0,Adel,Mountaintop,Northeast Tunnel Entrance,Dragonkin Soldier
63.0,Adel,Mountaintop,Northwest of Lake,Grave Warden Duelist
63.0,Adel,Mountaintop,East of Lake,Crucible Knight with Sword
63.0,Adel,Mountaintop,Mistwood,Crystalians
63.0,Adel,Mountaintop,Northeast Tunnel Entrance,Stoneskin Lords
64.0,Adel,Mountaintop,Northwest of Lake,Nox Warriors
64.0,Adel,Mountaintop,East of Lake,Dragonkin Soldier
64.0,Adel,Mountaintop,Mistwood,Beastly Brigade
64.0,Adel,Mountaintop,Northeast Tunnel Entrance,Crystalians
65.0,Adel,Crater,Northwest of Lake,Godskin Noble
65.0,Adel,Crater,Stormhill,Godskin Duo
65.0,Adel,Crater,East of Lake,Crystalians
65.0,Adel,Crater,Mistwood,Omen
66.0,Adel,Crater,Northwest of Lake,Omen
66.0,Adel,Crater,Stormhill,Death Rite Bird
66.0,Adel,Crater,East of Lake,Banished Knights
66.0,Adel,Crater,Mistwood,Crucible Knight with Sword
67.0,Adel,Crater,Northwest of Lake,Stoneskin Lords
67.0,Adel,Crater,Stormhill,Crucible Knight with Spear
67.0,Adel,Crater,East of Lake,Grave Warden Duelist
67.0,Adel,Crater,Mistwood,Banished Knights
68.0,Adel,Crater,Northwest of Lake,Grave Warden Duelist
68.0,Adel,Crater,Stormhill,Crystalians
68.0,Adel,Crater,East of Lake,Dragonkin Soldier
68.0,Adel,Crater,Mistwood,Nox Warriors
69.0,Adel,Crater,Northwest of Lake,Stoneskin Lords
69.0,Adel,Crater,Stormhill,Godskin Apostle
69.0,Adel,Crater,East of Lake,Nox Warriors
69.0,Adel,Crater,Mistwood,Grave Warden Duelist
70.0,Adel,Rotted Woods,Northwest of Lake,Dragonkin Soldier
70.0,Adel,Rotted Woods,Murkwater Terminus,Stoneskin Lords
70.0,Adel,Rotted Woods,Stormhill,Grave Warden Duelist
70.0,Adel,Rotted Woods,Highroad,Beastly Brigade
70.0,Adel,Rotted Woods,Mistwood,Crucible Knight with Sword
70.0,Adel,Rotted Woods,Northeast Tunnel Entrance,Bloodhound Knight
71.0,Adel,Rotted Woods,Northwest of Lake,Grave Warden Duelist
71.0,Adel,Rotted Woods,Murkwater Terminus,Nox Warriors
71.0,Adel,Rotted Woods,Stormhill,Crucible Knight with Spear
71.0,Adel,Rotted Woods,Highroad,Beastmen of Farum Azula
71.0,Adel,Rotted Woods,Mistwood,Crucible Knight with Sword
71.0,Adel,Rotted Woods,Northeast Tunnel Entrance,Crystalians
72.0,Adel,Rotted Woods,Northwest of Lake,Nox Warriors
72.0,Adel,Rotted Woods,Murkwater Terminus,Banished Knights
72.0,Adel,Rotted Woods,Stormhill,Dragonkin Soldier
72.0,Adel,Rotted Woods,Highroad,Crucible Knight with Sword
72.0,Adel,Rotted Woods,Mistwood,Beastly Brigade
72.0,Adel,Rotted Woods,Northeast Tunnel Entrance,Grave Warden Duelist
73.0,Adel,Rotted Woods,Northwest of Lake,Grave Warden Duelist
73.0,Adel,Rotted Woods,Murkwater Terminus,Omen
73.0,Adel,Rotted Woods,Stormhill,Crucible Knight with Sword
73.0,Adel,Rotted Woods,Highroad,Crucible Knight with Spear
73.0,Adel,Rotted Woods,Mistwood,Nox Warriors
73.0,Adel,Rotted Woods,Northeast Tunnel Entrance,Bloodhound Knight
74.0,Adel,Rotted Woods,Northwest of Lake,Crystalians
74.0,Adel,Rotted Woods,Murkwater Terminus,Crucible Knight with Sword
74.0,Adel,Rotted Woods,Stormhill,Beastmen of Farum Azula
74.0,Adel,Rotted Woods,Highroad,Crucible Knight with Spear
74.0,Adel,Rotted Woods,Mistwood,Bloodhound Knight
74.0,Adel,Rotted Woods,Northeast Tunnel Entrance,Beastly Brigade
75.0,Adel,Noklateo,Murkwater Terminus,Godskin Noble
75.0,Adel,Noklateo,Stormhill,Grave Warden Duelist
75.0,Adel,Noklateo,Highroad,Stoneskin Lords
75.0,Adel,Noklateo,East of Lake,Beastly Brigade
75.0,Adel,Noklateo,Mistwood,Bloodhound Knight
75.0,Adel,Noklateo,Northeast Tunnel Entrance,Crucible Knight with Spear
76.0,Adel,Noklateo,Murkwater Terminus,Dragonkin Soldier
76.0,Adel,Noklateo,Stormhill,Stoneskin Lords
76.0,Adel,Noklateo,Highroad,Omen
76.0,Adel,Noklateo,East of Lake,Crucible Knight with Spear
76.0,Adel,Noklateo,Mistwood,Nox Warriors
76.0,Adel,Noklateo,Northeast Tunnel Entrance,Beastly Brigade
77.0,Adel,Noklateo,Murkwater Terminus,Godskin Apostle
77.0,Adel,Noklateo,Stormhill,Grave Warden Duelist
